probably#ad. 大概，有可能
eminent#a. 著名的；突出的
artist#n. 艺术家；美术家
distant#a. 远的，远外的
brilliantly#ad. 鲜明地，辉煌地
canvas#n. 一块油画布；粗帆布
comprehend#vt. 了解，领会；包含
scientifically#ad. 科学地；系统地
arouse#vt. 唤起，激起；唤醒
viewer#n. 观察者；电视观众
romantic#a. 浪漫的
sentimental#a. 激动的；情感的
emotion#n. 感情；情绪
choice#n. 选择
scene#n. 景色；景象
poem#n. 诗
poet#n. 诗人
identical#a. 相同的；相等的
be identical to#与…相同
convey#vt. 转达，传达
instance#n. 例子；实例；实事
for instance#例如
nightfall#n. 黄昏
wilderness#n. 荒原，荒野
image#n. 映象；形象；图像
create#vt. 创作；创造
verify#vt. 证实，核实
likewise#ad. 同样地；也
mainly#ad. 主要地
interpret#vt. 解释，口译
transform#vt. 改变，转变；改造
favorable#a. 有利的，赞成的
be favorable to#有利于，赞成
wring#vt. 拧，扭；强求
necessity#n. 需要；必要性
curiosity#n. 好奇心；珍品
trifling#a. 微不足道的
unexplained#a. 未得到解释的
undoubtedly#ad. 无庸置疑；肯定地
supersonic#a. 超声速的
aircraft#n. 飞机，航空器
frozen#a. 冷冻的
curb#vt. 控制，抑制
ravage#vt. 毁坏，蹂躏
utilize#vt. 利用
tropical#a. 热带的
tank#n. 桶，槽
reliable#a. 可信的，确实的
set about#着手，开始
contribution#n. 贡献，捐献，投稿
simplified#a. 精简了的，简化了的
reddish#a. 带红色的，微红的
gather#vt. 收集，搜集
rusty#a. 生了锈的
observation#n. 观察，观测
hypothesis#n. 假说，假设
reset#v. 再试验，重复试验
survival#n. 生存，存活
maintain#vt. 继续；维持
homeostasis#n. 内环境恒定
stable#a. 稳定的，恒定的
depict#vt. 描述；描绘
least#n. 最小，最少
at least#至少，无论如何
overall#a. 全面的，综合的
dependent#a. 依靠的；由…决定的
by dependent on#依靠；由…决定
exception#n. 例外，除外
decompose#vt. 分解
basically#ad. 基本上，事实上
anus#n. 肛门
alimentary#a. 营养的；消化的
canal#n. 道，管
the alimentary canal#消化道
oral#a. 口的；口头的
cavity#n. 腔
pharynx#n. 咽
throat#n. 喉
situated#a. 位于…的
esophagus#n. 食道
partially#ad. 部分地；偏袒地
rectum#n. 直肠
unabsorbed#a. 未被吸收的
elimination#n. 排除，清除
digestion#n. 消化，消化力
salivary#a. 唾液的
salivary gland#唾液腺
pancreas#n. 胰(腺)
exchange#vt. & n. 交换，互换
potentially#ad. 潜在地
poisonous#a. 有毒的；恶毒的
subway#n. 地道，地下铁道
comprise#vt. 由…组成；包含
ultimately#ad. 终于，最后
rid#vt. 使…摆脱
rid someone of#使某人摆脱
get rid of#去掉，排除
urinary#a. 泌尿的；尿的
endocrine#a. 内分泌的；n. 内分泌
hormone#n. 激素，荷尔蒙
neuron#n. 神经原，神经细胞
network#n. 网，网状系统
as a whole#整体上，作为一个整体
actual#a. 实际的，事实上的
contraction#n. 收缩，缩短
finally#ad. 最后，终于
skeletal#a. 骨骼的，骸骨的
excretory#a. 排泄的
reproductive#a. 生殖的；再生的
to sum up#总之；总结
respiration#n. 呼吸，呼吸作用
precisely#ad. 精确地，明确地
oxidize#ad. 使氧化
notably#ad. 特别是，显著地
sensitive#a. 敏感的，灵敏的
sensitive to#对…敏感
hypoxia#n. 氧过少，低氧
anoxia#n. 缺氧症
complicated#a. 复杂的，难懂的
former#a. 以前的，前任的
the former#前者
signify#vt. 表示，表明；意味
denote#vt. 表示；意味着
subdivide#vt. 把…再分
be subdivided into#被再分成
phase#n. 阶段；方面
inspiration#n. 吸气，吸入
expiration#n. 呼气；呼出物
expulsion#n. 驱逐；排除
portion#n. 一部分；一份
larynx#n. 喉
trachea#n. 气管
windpipe#n. 气管
bronchus#n. 支气管
portal#n. 门，入口
entry#n. 进入；门口
principal#a. 主要的，最重要的
cluster#n. 一串，一束；一群
sac#n. 囊；液囊
alveolus#n. 肺泡
