mood#n. 情绪，心境
possess#v. 有，具有；掌握
magical#adj. 有魔术的，神奇的
assume#v. 假定，以为；承担
link#n. 联系，连接
optimist#n. 乐观主义者
view#v. 看，认为；观察
in a blue mood#心境不好
profound#adj. 深的，深奥的
electromagnetic#adj. 电磁的
beholder#n. 观者，目击者
psychologist#n. 心理学家
elicit#vt. 引出，使发出
stir#v. 使感动或兴奋；搅拌
patriotism#n. 爱国心，爱国主义
affection#n. 温柔；亲爱
antidote#n. 矫正方法，除害物
raise#v. 饲养，抚育
rainbow#n. 虹
spectrum#n. 光谱
a spectrum of#连续的，连串的
startling#adj. 使人惊愕的
flash#n. 闪光，突然一照
alga#n. 海藻
mate#v. 交配
interior#adj. 内部的，室内的
decorator#n. 房屋装饰人
illumination#n. 照明；照明器材
nearsighted#adj. 近视的
blurry#adj. 视力模糊的
wear#v. 戴，穿
glasses#n. 眼镜
at arm's length#伸臂可达之处，近处
what is called#所谓…的
astigmatism#n. 散光
correct#v. 纠正，校正；改正
cataract#n. 白内障
faint#adj. 不清的，昏暗的
cloudy#adj. 模糊的；多云的
be accustomed to#习惯于
rather than#(宁…)而不…
camera#照相机
opening#n. 开口
adjust#v. 调节；调整，排整齐
diaphragm#n. 光圈，光栏
pupil#n. 瞳孔
photograph#v. 照相，拍照
indistinct#adj. 不清楚的
close by#附近，不远处
distance#n. 距离；远处
speck#n. 斑点；污点
relax#vt. 放松，使松懈
now and then#时而，不时
concentrate#v. 集中力量或注意力于
complicated#adj. 难懂的，难解的
unacquainted with#对…不熟悉，不认识
angle#n. 角度；角
retain#v. 保留，保有；保持
moving picture#电影
succession#n. 连续，接连，接续
fraction#n. 小部分，片断
screen#n. 银幕，屏幕
jumpy#adj. 神经过敏的
fashion#n. 样子，方式
teenager#n. 13岁到19岁的年轻人
comment#n. 评论；说明，解释
creative#adj. 有创造力的
imaginative#adj. 想象的
logic#n. 逻辑推理；逻辑学
educated#adj. 受过教育的
syllabus#n. 教学大纲；课程表
item#n. 项目，条款
balance#vi. & vt. 平衡，平衡状态；n. 秤
episode#n. 事件；插曲
vivid#adj. 生动的；明亮的
revision#n. 复习，重温；修订
revise#v. 复习，温习；修订
phenomenon#n. 现象
technology#n. 技术，工艺学
meaningful#adj. 含义深远的
statistics#n. 统计，统计数字
demography#n. 人口统计
census#n. 人口统计，人口普查
yearbook#n. 年鉴
work out#算出；取得结果，奏效
infanticide#n. 杀婴
starvation#n. 饥饿，饿死
typical#adj. 典型的，代表性的
tribal#adj. 部落的，宗族的
universal#adj. 普遍的，一致的
explosion#n. 激增；爆炸，炸裂
more or less#或多或少；左右
transitional#adj. 过渡的，转移的
distinctive#adj. 有特色的
productivity#n. 生产能力；生产率
primitive#adj. 原始的；简单的
agriculture#n. 农业，农艺
productive#adj. 富饶的；产生…的
sophisticated#adj. 复杂的；尖端的
applicable#ad. 适当的；能应用的
fertility#n. 繁殖力，能育性
stabilize#v. 稳定，安定
mortality#n. 死亡数目；死亡率
decline#n. 下降，衰落
annual#adj. 每年的，一年的
billion#n. (英)万亿；(美)十亿
inflation#n. 通货膨胀
tag#n. 标签，符签
